listingkey,listingnumber,status,creditgrade,amount,startdate,enddate,memberkey,groupkey
33843422842523245650067,346313,Completed,A,5000,"2008-06-07 06:10:20","2008-06-14 06:11:26",3A033421591449099B13287,NULL
3397342304238667776D3E8,342507,Expired,HR,1500,"2008-06-01 11:27:18","2008-06-08 11:28:05",E38234223540963899E00D3,NULL
34053422325793149D3FA95,348615,Expired,D,2500,"2008-06-11 09:59:02","2008-06-18 09:59:08",FED23422291631997AF8173,NULL
34373423629030963EE0166,348028,Completed,AA,5000,"2008-06-10 11:58:09","2008-06-17 12:00:56",F1BB3422640357881DCA8C6,NULL
345A34241850622572E7FF3,350197,Expired,HR,4000,"2008-06-13 16:20:49","2008-06-20 16:25:43",266B342235367562986BAE9,NULL
34EF342334863077440C300,343410,Expired,C,4500,"2008-06-03 04:26:48","2008-06-10 04:31:39",F8E73421082539809A6CAC8,NULL
38323422550290385E71A41,344528,Completed,D,2000,"2008-06-04 15:11:01","2008-06-11 15:16:02",A5B134238026611371F412C,NULL
386B34217071672774B6E6E,342403,Expired,C,8500,"2008-06-01 00:15:54","2008-06-08 00:17:58",B1AC3420260169736258157,NULL
388F3423237071768D74BE8,349998,Expired,AA,25000,"2008-06-13 10:24:29","2008-06-20 10:27:55",E6CA3424415334210FBE231,NULL
39113420308803127181785,331902,Expired,D,25000,"2008-06-03 15:15:16","2008-06-10 15:17:29",A70B34200508035752EC974,NULL
39F23423129948879CDDD61,344022,Expired,A,25000,"2008-06-03 19:51:47","2008-06-10 19:56:46",06053417415358729225743,NULL
3C593422366239647E0B4CF,348042,Expired,HR,2100,"2008-06-10 12:15:40","2008-06-17 12:16:37",11483419895688401830308,NULL
3CC734236502351445F2BA3,347113,Expired,E,4200,"2008-06-09 05:10:46","2008-06-16 05:15:40",C626342076792354871F500,NULL
3D10342388095914149A8DC,348595,Expired,C,5000,"2008-06-11 09:35:14","2008-06-18 09:38:52",2363342364996623575AD29,NULL
3D7A342181468614524689A,343043,Expired,HR,9500,"2008-06-02 14:04:13","2008-06-09 14:05:50",9F67339985729302207025D,FEF83377364176536637E50
3D963424303592008DAC3B7,351060,Completed,E,1350,"2008-06-15 22:49:58","2008-06-22 20:13:52",B48933910801758714C84E4,NULL
3DE534178175743527AAA76,303370,Expired,C,7500,"2008-06-05 17:53:29","2008-06-12 17:55:54",A3C33377164010951E7F10F,4707336438924330015F446
3EFE34234130395536832A2,347607,Expired,E,1031,"2008-06-09 19:15:28","2008-06-16 19:16:49",9EBC342328353014833EF89,NULL
3FA43422808572418C07BF8,347240,Expired,HR,13000,"2008-06-09 09:55:43","2008-06-16 09:59:03",FD2F3422021995500FBA0EA,NULL
40033422734301258BDD7C6,343103,Completed,B,5000,"2008-06-02 14:28:34","2008-06-05 08:28:26",9FCF342187408517915B101,NULL
429E34220179514662EBD56,344029,Completed,D,1000,"2008-06-03 20:03:00","2008-06-04 06:35:40",1FF333705294906968E8F81,NULL
42AB3423791338970B73B5E,345510,Expired,D,10000,"2008-06-05 19:13:09","2008-06-12 19:14:32",87EC3423883831303F33A0E,NULL
43EB342348397364779A1A3,348945,Expired,E,4650,"2008-06-11 16:34:26","2008-06-18 16:37:00",DD2B3423204615911044462,NULL
447A3424335298459491585,350142,Expired,C,12000,"2008-06-13 14:18:26","2008-06-20 14:22:39",7F0534242365082399CF350,NULL
44993422777484423A38202,348657,Expired,HR,8500,"2008-06-11 11:31:50","2008-06-18 11:35:44",2B853422270305302CBFECC,NULL
44DE34228387531664B154B,350179,Completed,C,7000,"2008-06-13 15:56:14","2008-06-20 15:58:35",B7B734238860212144D9AD6,NULL
46803421992375615AEA2E0,342916,Expired,D,2945,"2008-06-02 09:51:51","2008-06-09 09:54:08",637834134811758533818BA,NULL
46993424134183221B8DDB9,347594,Expired,C,9800,"2008-06-09 18:53:24","2008-06-16 18:56:12",472434227419737734A94C1,NULL
477834226433355099572F2,348173,Expired,B,20000,"2008-06-10 15:06:54","2008-06-17 15:07:39",75253423669682966C79D61,NULL
49163422804489367975DBA,348979,Expired,HR,3000,"2008-06-11 17:48:32","2008-06-18 17:52:52",2E68340664771317865796C,NULL
4A2D34241655101563DBDC6,349525,Expired,D,3000,"2008-06-12 13:52:40","2008-06-19 13:57:11",201A34172158707450210B6,NULL
4A4A3422675824570FB754B,346654,Expired,HR,3000,"2008-06-09 21:10:55","2008-06-16 21:13:19",95A53392703714824C3E9DB,18DA336463918236939DCE7
4AE53422163740700F2CE75,346466,Expired,B,10000,"2008-06-07 13:07:18","2008-06-14 13:11:10",23EE3423967903111B81104,NULL
4AF034217815481988DFDF0,344755,Completed,B,15000,"2008-06-05 07:12:40","2008-06-12 07:14:22",623634229431225236D213E,NULL
4B6534232925116000645BC,345588,Expired,C,4500,"2008-06-05 20:41:53","2008-06-12 20:45:46",AAF13422158428970F1036B,NULL
4B7A34240302896843D0A44,350052,Expired,HR,4000,"2008-06-13 11:59:57","2008-06-20 12:00:14",692F3406287099688A32ECF,NULL
4C1A3422430159845DD2EFC,346382,Expired,B,15000,"2008-06-07 10:56:54","2008-06-14 10:58:07",ED833423445733104C33C31,NULL
4CE53422648699316D2872A,344159,Completed,A,7500,"2008-06-04 07:00:04","2008-06-11 07:01:37",5C2734235236167194D58D9,NULL
4F2A3422908690322683941,342441,Expired,D,9800,"2008-06-01 07:22:35","2008-06-08 07:25:20",0BFD3422080031644685B40,NULL
4F58342262960518837AF74,347044,Expired,A,20000,"2008-06-08 20:41:50","2008-06-15 20:42:18",98F83375648676019E33480,NULL
4FD8342390674947536191B,346482,Expired,HR,1500,"2008-06-07 13:43:09","2008-06-14 13:43:18",2E3934233302657122ADFF8,NULL
501A34233115455533B71EA,344233,Expired,E,3000,"2008-06-04 09:08:40","2008-06-11 09:12:03",A1813422071625979050524,NULL
507F34218790911123BBF0C,344114,Expired,D,5000,"2008-06-04 03:40:34","2008-06-11 03:44:41",712533944572108528A54BE,29E43395134069352BE9525
511D342419325931444E6D1,348423,Expired,E,2900,"2008-06-10 22:07:50","2008-06-17 22:11:40",859A3417479691289EF4F0F,NULL
513A3422329786631178557,343502,Completed,C,3500,"2008-06-03 08:08:13","2008-06-10 08:13:04",DDFB3423552366700204232,NULL
514C34233987364398AE68E,346897,Expired,E,15000,"2008-06-08 15:09:28","2008-06-15 15:11:54",4E1C3422720361059F436D9,NULL
51DE34228454523088DFCF3,349441,Expired,C,11500,"2008-06-12 11:48:47","2008-06-19 11:53:22",85903394496291145632746,NULL
5334342272806801447C014,344809,Completed,HR,1200,"2008-06-04 21:14:34","2008-06-11 21:18:23",E0973423662504864F5753F,NULL
54173423770404386159953,346958,Expired,HR,5000,"2008-06-08 18:08:47","2008-06-15 18:13:36",BA0034224146631705FDF17,NULL
545734218416980869DC34C,343354,Expired,E,2000,"2008-06-02 21:26:27","2008-06-09 21:27:24",C216339365514274604FD69,NULL
55F63422735994525F28373,346926,Expired,HR,4000,"2008-06-08 16:13:46","2008-06-15 16:17:27",C4C73422437877278DF59A7,NULL
56A83423707298245116866,350371,Completed,AA,6000,"2008-06-14 05:18:14","2008-06-21 05:20:01",8B293416979786837A86F51,NULL
56B434233736872993C7644,344874,Expired,D,5000,"2008-06-05 02:18:31","2008-06-12 02:21:24",A30C3415535074744DE16C1,NULL
59493423368733940DF2811,345506,Expired,A,25000,"2008-06-05 19:00:12","2008-06-12 19:04:27",AE8C3420471275689FC8509,NULL
597D3421978123517C1A1A9,343777,Expired,HR,5000,"2008-06-03 14:16:34","2008-06-10 14:20:11",46E23390629053257B790B0,NULL
5A5E3422692461396BD3762,342520,Expired,HR,5000,"2008-06-01 12:09:23","2008-06-08 12:13:19",731A3421615218157AFAEC5,NULL
5A753422863153350D1BA96,345478,Completed,HR,2300,"2008-06-10 12:06:54","2008-06-11 09:39:36",E8AD34186638308784E6ED1,NULL
5D6F3422549832957DBBA6C,347029,Expired,HR,3000,"2008-06-08 20:14:06","2008-06-15 20:16:59",B6113422077330017639CF9,NULL
5F603423270995000E9C61F,347798,Expired,D,5750,"2008-06-10 06:02:18","2008-06-17 06:07:21",3EFC3412356940393BE6DE8,NULL
5F72342196041953071DA08,343364,Completed,E,2000,"2008-06-02 21:42:34","2008-06-09 21:42:38",02AF34179714576903F72D3,NULL
61443422872364050494307,346809,Expired,HR,10000,"2008-06-08 11:49:51","2008-06-15 11:54:33",E3613422741296389D1FE6F,NULL
61D934229164631634A3126,345338,Expired,D,9000,"2008-06-05 14:59:32","2008-06-12 15:07:10",50CA3421126041085A3FE12,NULL
623A34219738558496941CA,343942,Completed,AA,15000,"2008-06-03 21:50:20","2008-06-10 21:52:58",72493418655435705C0352D,9DA03421311751706439130
62D634233339669831D6319,349948,Expired,E,5000,"2008-06-13 09:21:10","2008-06-20 09:23:55",1AE13424050847624766223,NULL
633D34242736799055898DB,348094,Expired,C,5500,"2008-06-10 13:17:12","2008-06-17 13:18:32",3B1B338136731784830DE4B,NULL
639034222986590576767DB,344576,Expired,C,3500,"2008-06-04 16:10:44","2008-06-11 16:11:55",90CE3421825996938E489BD,NULL
63A13422218356297E8943E,342912,Expired,AA,24995,"2008-06-02 09:59:36","2008-06-09 10:04:27",B080341673898047995DAE7,NULL
63AD342271407622001DE87,346743,Expired,HR,9500,"2008-06-08 09:12:38","2008-06-15 09:12:53",A3DD3420306445009246DC4,NULL
63E234242594638752BC12B,350422,Expired,C,14900,"2008-06-14 08:10:03","2008-06-21 08:11:54",73033414510099870110A48,NULL
654E3421912950276601027,342654,Expired,HR,10000,"2008-06-03 05:06:59","2008-06-10 05:11:55",8A0A3419777950579DEC4AF,NULL
65783422933501730ED37F0,343412,Expired,HR,6000,"2008-06-03 04:32:58","2008-06-10 04:36:42",1969340695178727396D6A4,NULL
65E13421867326917A5BAAA,345417,Expired,HR,1000,"2008-06-05 16:54:57","2008-06-12 16:54:59",D06D342322572154495FE19,NULL
65FC342364293377096849A,349070,Completed,B,3000,"2008-06-11 20:06:15","2008-06-18 20:06:48",7B473423969387134AFC79F,NULL
66293422072433488510336,346219,Completed,AA,10000,"2008-06-13 10:03:51","2008-06-20 10:05:32",A3EB3373276321680CD43FD,E37B3365357900652F8BF9E
66D93422100306159C322D6,345330,Expired,AA,8000,"2008-06-05 14:51:54","2008-06-12 14:55:57",B718341190046181103023C,NULL
67AA3421944079442D510D0,342610,Expired,D,25000,"2008-06-01 17:05:44","2008-06-08 17:06:51",DD103421698704576CC3C5F,NULL
688E3422181010514DC8A4F,342587,Expired,E,2200,"2008-06-01 15:47:49","2008-06-08 15:50:59",BA10341811630171670495E,NULL
69263422915931987B6485E,344585,Expired,A,15000,"2008-06-04 16:19:22","2008-06-11 16:22:07",1946342248441545216EE25,NULL
6A473423736902467EB555A,349336,Expired,D,3000,"2008-06-12 08:48:33","2008-06-19 08:53:33",9A3E33661036094744DE2C1,6A3B336601725506917317E
6ACA3423456024895C7EFAD,347180,Expired,A,5000,"2008-06-09 08:04:19","2008-06-16 08:09:04",E1D73419606284595FE7036,NULL
6B263424363231231B20ED4,350320,Expired,C,7500,"2008-06-13 21:57:46","2008-06-20 22:02:01",C8E23423247972057B80341,NULL
6B7734221319673962458E0,345688,Expired,AA,8000,"2008-06-06 04:30:56","2008-06-13 04:35:15",F33C3423778351832394406,NULL
6BDA3423437585197CD82B8,343139,Completed,AA,25000,"2008-06-02 15:24:52","2008-06-09 10:56:19",86A434211750864233A361D,NULL
6C293424122256542488647,350804,Expired,HR,3000,"2008-06-15 11:04:18","2008-06-22 11:05:38",1A913423530164983337847,NULL
6C6B3422909521330D08C9F,349304,Expired,D,20000,"2008-06-12 08:11:32","2008-06-19 08:12:35",451C3423649045736725762,NULL
6CE1342184954967279F5D7,343277,Expired,HR,5000,"2008-06-02 18:57:48","2008-06-09 19:00:00",B8FE3420864345723CDD3C1,NULL
6CFB3422586395251DAF76E,343221,Expired,C,7200,"2008-06-02 17:26:09","2008-06-09 17:28:53",790934028960404053AD781,NULL
7135342298719865533989B,347681,Expired,E,2500,"2008-06-09 20:38:39","2008-06-16 20:43:11",31B43422618468082BE797B,NULL
71923418529595335D19A70,308993,Expired,HR,15000,"2008-06-02 21:05:28","2008-06-09 21:07:19",99CC3419222342101E2B991,NULL
72B73424103158212F6775A,347525,Expired,D,9000,"2008-06-09 16:08:30","2008-06-16 16:12:26",B4B43406163345150951FDA,NULL
73BB3422496727178768E88,348281,Expired,D,6500,"2008-06-10 17:47:17","2008-06-17 17:49:27",072834181422629738B1E92,NULL
744834220230347791CD374,342883,Expired,C,7500,"2008-06-02 09:03:29","2008-06-09 09:07:30",D473342216979635568EFF9,NULL
74DF342174474481381C145,344334,Expired,D,7500,"2008-06-04 11:28:08","2008-06-11 11:30:27",A5553419183918629FACC6F,NULL
751A34217571382085CABAA,344752,Expired,HR,2000,"2008-06-04 20:10:16","2008-06-11 20:13:36",DADA3410261725876677E0A,NULL
772734219172233943F0880,343962,Expired,E,3500,"2008-06-03 18:22:26","2008-06-10 18:25:53",62663416602421308F07AA4,NULL
773B3424496791142FDB7AB,349491,Completed,B,5000,"2008-06-12 12:54:58","2008-06-19 13:05:05",92243422526053958D6B3A9,NULL
77EA34222439999389D6800,344088,Completed,A,1000,"2008-06-03 23:34:36","2008-06-10 23:38:40",C4A03423341970557C7A144,NULL
78C1342176932910104B67B,343702,Expired,B,10000,"2008-06-03 12:40:04","2008-06-10 12:41:28",6A2F3423405288019726B1B,NULL
792834234304937341BC68A,348965,Expired,B,20000,"2008-06-11 17:06:21","2008-06-18 17:07:15",ABEA33652902511991EBCE7,NULL
792B34225401638250E14BA,350236,Completed,D,6000,"2008-06-13 18:15:01","2008-06-20 18:18:51",963C341093270654391B159,NULL
79623424095076928280CB9,347575,Expired,HR,13000,"2008-06-09 17:18:49","2008-06-16 17:19:51",B20034228561980515D2C3E,NULL
